date,score,qqq_change,spy_change,vix,gold_change,tnx_change,usdjpy_change,recommend,next_day_qqq,result
2021-11-23,50,-44.8611,-39.4344,19.38,-58.4439,-64.5244,-27.9383,スタンダード,0.32,Win
2021-11-24,65,0.322,0.267,18.58,-0.0957,-1.3197,0.3058,スタンダード,0.0,Lose
2021-11-25,55,0.0,0.0,18.58,0.0,0.0,0.2319,テクノロジーチャレンジ,-1.9,Lose
2021-11-26,25,-1.8959,-2.2303,28.62,-0.1616,-9.9088,-0.2937,ゴールド,2.17,Lose
2021-11-29,70,2.1702,1.2267,22.96,-0.1379,3.2389,-1.1732,テクノロジーチャレンジ,-1.47,Lose
2021-11-30,25,-1.4686,-1.9458,27.19,-0.6722,-5.6863,0.0747,ゴールド,-1.7,Win
2021-12-01,15,-1.7013,-1.1107,31.12,0.3988,-0.6237,-0.4437,ゴールド,0.72,Lose
2021-12-02,45,0.7207,1.5316,27.95,-0.5537,0.9763,-0.3681,ゴールド,-1.74,Win
2021-12-03,15,-1.7389,-0.8701,30.67,0.8412,-7.2514,0.124,ゴールド,0.8,Lose
2021-12-06,40,0.8013,1.1843,27.18,-0.2461,6.7759,0.0177,ゴールド,3.01,Lose
2021-12-07,70,3.0114,2.0685,21.89,0.3549,3.2078,0.368,テクノロジーチャレンジ,0.45,Win
2021-12-08,60,0.4474,0.2648,19.9,0.054,1.9595,0.0591,スタンダード,-1.47,Lose
2021-12-09,40,-1.4714,-0.6752,21.58,-0.6111,-1.4579,0.1401,逆チャレンジ,1.09,Lose
2021-12-10,65,1.087,0.9413,18.69,0.422,0.1345,-0.2076,テクノロジーチャレンジ,-1.44,Lose
2021-12-13,40,-1.4447,-0.8858,20.31,0.2521,-4.3653,0.0467,逆チャレンジ,-1.04,Win
2021-12-14,40,-1.035,-0.688,21.89,-0.9341,0.9831,0.067,逆チャレンジ,2.28,Lose
2021-12-15,75,2.2797,1.5625,19.29,0.4292,1.7385,0.1461,テクノロジーチャレンジ,-2.57,Lose
2021-12-16,20,-2.5715,-0.8819,20.57,1.2098,-2.8025,0.3455,逆チャレンジ,-0.5,Win
2021-12-17,40,-0.4989,-1.4107,21.57,-0.2141,-1.4065,-0.4144,ゴールド,-1.1,Win
2021-12-20,35,-1.0964,-1.0633,22.87,-0.4231,1.2126,-0.1276,逆チャレンジ,2.24,Lose
2021-12-21,70,2.238,1.7759,21.01,-0.0419,4.7921,0.1269,テクノロジーチャレンジ,1.22,Win
2021-12-22,65,1.2179,0.9999,18.63,0.94,-2.0175,0.2921,テクノロジーチャレンジ,0.75,Win
2021-12-23,60,0.7539,0.6222,17.96,0.2254,2.4708,0.1114,テクノロジーチャレンジ,0.0,Lose
2021-12-24,55,0.0,0.0,17.96,0.0,0.0,0.2953,テクノロジーチャレンジ,1.65,Win
2021-12-27,65,1.6527,1.4152,17.68,0.2367,-0.8038,-0.1092,テクノロジーチャレンジ,-0.46,Lose
2021-12-28,45,-0.4635,-0.0817,17.54,-0.431,0.0,0.4015,テクノロジーチャレンジ,-0.01,Lose
2021-12-29,50,-0.0149,0.1279,16.95,-0.0297,4.1864,-0.0165,テクノロジーチャレンジ,-0.3,Lose
2021-12-30,45,-0.2988,-0.2765,17.33,0.7177,-1.8146,0.1525,テクノロジーチャレンジ,-0.62,Lose
2021-12-31,45,-0.6245,-0.252,17.22,0.6832,-0.198,0.1001,テクノロジーチャレンジ,0.96,Win
2022-01-03,60,0.9627,0.579,16.6,-1.5384,7.672,0.0687,テクノロジーチャレンジ,-1.3,Lose
2022-01-04,40,-1.2971,-0.0335,16.91,0.7367,2.457,0.1615,逆チャレンジ,-3.07,Win
2022-01-05,25,-3.0721,-1.9202,19.73,-0.3008,2.2182,0.7336,逆チャレンジ,-0.07,Win
2022-01-06,40,-0.0703,-0.0939,19.61,-1.2244,1.6422,-0.0396,ゴールド,-1.08,Win
2022-01-07,40,-1.0833,-0.3954,18.76,0.4551,2.1927,-0.2265,逆チャレンジ,0.07,Lose
2022-01-10,55,0.0658,-0.1244,19.4,0.304,0.5082,-0.2132,テクノロジーチャレンジ,1.5,Win
2022-01-11,60,1.5022,0.9108,18.41,1.2065,-1.9101,-0.2941,テクノロジーチャレンジ,0.4,Win
2022-01-12,65,0.3966,0.2704,17.62,0.2643,-1.2028,0.046,テクノロジーチャレンジ,-2.5,Lose
2022-01-13,25,-2.5016,-1.3779,20.31,-0.3397,-0.8116,-0.5688,逆チャレンジ,0.62,Lose
2022-01-14,60,0.6223,0.0409,19.19,-0.288,3.5652,-0.4857,スタンダード,0.0,Lose
2022-01-17,55,0.0,0.0,19.19,0.0,0.0,0.1647,テクノロジーチャレンジ,-2.49,Lose
2022-01-18,20,-2.4894,-1.771,22.79,-0.165,5.2483,0.2318,逆チャレンジ,-1.1,Win
2022-01-19,35,-1.0984,-1.0384,23.85,1.5881,-2.0375,-0.0148,逆チャレンジ,-1.3,Win
2022-01-20,25,-1.2988,-1.1068,25.59,-0.2499,0.3284,-0.1807,ゴールド,-2.77,Win
2022-01-21,10,-2.7729,-1.9631,28.85,-0.3262,-4.6918,-0.3096,ゴールド,0.46,Lose
2022-01-24,45,0.4578,0.4247,29.9,0.5494,-0.6869,-0.1825,ゴールド,-2.32,Win
2022-01-25,0,-2.3181,-1.2209,31.16,0.3197,2.7666,0.1986,ゴールド,-0.16,Win
2022-01-26,10,-0.1565,-0.2509,31.96,-1.6166,3.6455,-0.1193,ゴールド,-1.01,Win
2022-01-27,15,-1.0071,-0.4938,30.49,-1.2898,-2.2186,0.7429,ゴールド,3.14,Lose
2022-01-28,60,3.1369,2.4835,27.66,-0.2983,-1.3835,0.55,ゴールド,3.2,Lose
2022-01-31,75,3.1978,1.8011,24.83,0.5925,0.0,-0.078,テクノロジーチャレンジ,0.68,Win
2022-02-01,55,0.6803,0.6757,21.96,0.0833,1.0101,-0.1223,スタンダード,0.81,Win
2022-02-02,60,0.8125,0.9714,22.09,0.3626,-1.8889,-0.3344,スタンダード,-4.05,Lose
2022-02-03,20,-4.0544,-2.3505,24.35,-0.1421,3.4541,-0.3085,逆チャレンジ,1.26,Lose
2022-02-04,55,1.2615,0.4702,23.22,0.1542,5.6377,0.5027,テクノロジーチャレンジ,-0.8,Lose
2022-02-07,40,-0.8044,-0.3209,22.86,0.7403,-0.7254,0.2323,ゴールド,1.12,Lose
2022-02-08,55,1.1235,0.8228,21.44,0.3057,1.9833,-0.1397,テクノロジーチャレンジ,2.12,Win
2022-02-09,80,2.1191,1.4636,19.96,0.3399,-1.2794,0.4067,テクノロジーチャレンジ,-2.26,Lose
2022-02-10,20,-2.2633,-1.7966,23.91,-0.3797,5.2877,0.0615,逆チャレンジ,-3.17,Win
2022-02-11,5,-3.1722,-1.9719,27.36,1.9055,-3.742,0.3849,ゴールド,0.12,Lose
2022-02-14,30,0.1239,-0.3269,28.33,0.5351,2.0972,-0.399,ゴールド,2.49,Lose
2022-02-15,55,2.4864,1.6127,25.7,-0.95,2.4549,-0.0415,ゴールド,-0.03,Win
2022-02-16,45,-0.0253,0.1121,24.29,1.0284,0.0978,0.0857,スタンダード,-2.97,Lose
2022-02-17,5,-2.9744,-2.1361,28.11,1.3668,-3.6639,-0.2145,ゴールド,-1.14,Win
2022-02-18,25,-1.1405,-0.6475,27.75,-0.0733,-2.0284,-0.4515,ゴールド,0.0,Lose
2022-02-21,35,0.0,0.0,27.75,0.0,0.0,0.0827,ゴールド,-1.0,Win
2022-02-22,25,-1.0044,-1.0732,28.81,0.2089,0.8282,-0.3062,ゴールド,-2.56,Win
2022-02-23,0,-2.5615,-1.7739,31.02,0.4507,1.4887,0.4249,ゴールド,3.36,Lose
2022-02-24,50,3.3604,1.5049,30.32,-0.645,-0.4047,-0.172,ゴールド,1.55,Lose
2022-02-25,45,1.5507,2.2064,27.59,-0.3331,0.8634,0.5857,ゴールド,0.3,Lose
2022-02-28,20,0.2979,-0.2559,30.15,1.0365,-7.4018,0.0121,ゴールド,-1.53,Win
2022-03-01,10,-1.5311,-1.523,33.32,1.8163,-7.1778,-0.4386,ゴールド,1.68,Lose
2022-03-02,30,1.6779,1.8396,30.74,-1.0406,9.256,-0.2129,ゴールド,-1.43,Win
2022-03-03,15,-1.4285,-0.4978,30.48,0.5953,-1.126,0.5974,ゴールド,-1.45,Win
2022-03-04,10,-1.4492,-0.8125,31.98,1.5929,-6.5076,-0.039,ゴールド,-3.69,Win
2022-03-07,0,-3.6881,-2.9479,36.45,1.4863,1.5661,-0.4538,ゴールド,-0.46,Win
2022-03-08,5,-0.4648,-0.7582,35.13,2.7359,6.9103,0.368,ゴールド,3.6,Lose
2022-03-09,45,3.5998,2.6811,32.45,-2.9711,4.0598,0.3025,ゴールド,-1.11,Win
2022-03-10,10,-1.1105,-0.4516,30.23,0.3121,3.2341,0.1616,ゴールド,-2.07,Win
2022-03-11,0,-2.0738,-1.2715,30.75,-0.7028,-0.3481,0.2329,ゴールド,-1.92,Win
2022-03-14,13,-1.9205,-0.7308,31.77,-1.5074,6.7864,1.162,ゴールド,3.14,Lose
2022-03-15,60,3.1367,2.199,29.83,-1.8705,0.9346,0.5862,ゴールド,3.71,Lose
2022-03-16,55,3.7087,2.2174,26.67,0.6261,1.2963,0.0626,ゴールド,1.21,Lose
2022-03-17,45,1.2106,1.2511,25.67,0.4889,0.1828,0.4886,ゴールド,2.05,Lose
2022-03-18,75,2.0468,0.7822,23.87,-0.879,-2.0073,-0.323,テクノロジーチャレンジ,-0.4,Lose
2022-03-21,35,-0.4012,-0.0292,23.53,0.7641,7.7747,0.6558,ゴールド,1.97,Lose
2022-03-22,55,1.9653,1.1701,22.94,-0.7251,2.5054,0.2775,テクノロジーチャレンジ,-1.44,Lose
2022-03-23,38,-1.4371,-1.2878,23.57,1.366,-2.1913,1.4599,逆チャレンジ,2.22,Lose
2022-03-24,75,2.2227,1.5074,21.67,0.726,0.8617,-0.1755,テクノロジーチャレンジ,-0.08,Lose
2022-03-25,48,-0.0834,0.4884,20.81,-0.4095,6.4502,1.0064,スタンダード,1.55,Win
2022-03-28,65,1.5472,0.7113,19.63,-1.8204,-0.6019,-0.0621,テクノロジーチャレンジ,1.72,Win
2022-03-29,68,1.721,1.2371,18.9,0.0447,-3.1086,1.1368,テクノロジーチャレンジ,-1.1,Lose
2022-03-30,45,-1.1046,-0.6175,19.33,0.8038,-1.75,-0.4326,逆チャレンジ,-1.24,Win
2022-03-31,40,-1.2395,-1.5391,20.56,0.0388,-1.3147,-0.8966,逆チャレンジ,-0.19,Win
2022-04-01,50,-0.1903,0.2834,19.63,-0.6366,2.1487,-0.2172,スタンダード,2.06,Win
2022-04-04,75,2.0589,0.8567,18.57,0.4847,1.4724,0.7014,テクノロジーチャレンジ,-2.22,Lose
2022-04-05,20,-2.2204,-1.2631,21.03,-0.6265,5.9702,0.1623,逆チャレンジ,-2.17,Win
2022-04-06,20,-2.1711,-0.9999,22.1,0.2343,2.0736,0.6897,逆チャレンジ,0.24,Lose
2022-04-07,55,0.2378,0.5039,21.55,0.3785,1.6481,0.0542,スタンダード,-1.4,Lose
2022-04-08,35,-1.3979,-0.2674,21.16,0.6266,2.3002,0.3015,逆チャレンジ,-2.37,Win
