type,group,count,win_rate,mean,median,cumulative,max_drawdown,threshold,correlation
score_band,0〜19,51,50.98039215686274,0.20431372549019605,0.04,8.682324323841994,-13.38860500262965,,-0.03393512040362893
score_band,20〜39,154,52.5974025974026,0.18149350649350646,0.095,29.53048348264018,-13.58068266363157,,-0.03393512040362893
score_band,40〜59,482,51.244813278008294,0.04257261410788381,0.04,16.917289589661767,-23.50188679535219,,-0.03393512040362893
score_band,60〜69,327,48.62385321100918,-0.06840978593272172,0.0,-22.074893535846495,-26.050369990058144,,-0.03393512040362893
score_band,70〜79,180,59.44444444444444,0.16077777777777777,0.195,32.31538597438699,-9.390326138280802,,-0.03393512040362893
score_band,80〜100,20,45.0,-0.1105,0.0,-2.263367088282575,-2.339854000000008,,-0.03393512040362893
buy_hold,,1226,51.79445350734094,0.058107667210440465,0.05,79.31171694791917,-35.508722300478844,,-0.03393512040362893
threshold,,1009,51.73439048562933,0.024658077304261644,0.05,17.821314681400136,-36.90283859719358,40.0,-0.03393512040362893
threshold,,739,51.15020297699594,-0.011312584573748308,0.03,-13.101241736103475,-33.620196679878454,50.0,-0.03393512040362893
threshold,,527,52.18216318785579,0.008273244781783687,0.05,0.7732176266756374,-20.635099389119993,60.0,-0.03393512040362893
threshold,,374,57.21925133689839,0.11342245989304814,0.125,49.78230300789359,-15.020147954203056,65.0,-0.03393512040362893
threshold,,200,57.99999999999999,0.13365,0.14500000000000002,29.32060307550879,-11.438104767555647,70.0,-0.03393512040362893
threshold,,49,51.02040816326531,0.016326530612244938,0.03,0.40226421763993603,-7.161741245399922,75.0,-0.03393512040362893
threshold,,20,45.0,-0.1105,0.0,-2.263367088282575,-2.339854000000008,80.0,-0.03393512040362893
course,ゴールド,254,50.78740157480315,0.132007874015748,0.05,32.07567341215161,-15.15910438129594,,-0.03393512040362893
course,スタンダード,99,42.42424242424242,-0.14898989898989895,-0.01,-14.7273955059114,-16.224273153471714,,-0.03393512040362893
course,テクノロジーチャレンジ,707,53.18246110325319,0.04164073550212164,0.08,28.382425254032672,-29.985342777859646,,-0.03393512040362893
course,逆チャレンジ,166,53.01204819277109,0.1386746987951808,0.07,24.014004617186302,-14.690592688147131,,-0.03393512040362893
year,2021,31,41.935483870967744,-0.009032258064516109,-0.01,-0.5758700345150802,-4.75455989496254,,-0.03393512040362893
year,2022,260,41.92307692307693,-0.13815384615384613,-0.135,-33.68493513694087,-34.37245912032826,,-0.03393512040362893
year,2023,260,54.230769230769226,0.17180769230769233,0.08499999999999999,53.81617514386108,-10.931335665194597,,-0.03393512040362893
year,2024,262,56.48854961832062,0.09045801526717559,0.12,24.69666555784309,-13.533490675138216,,-0.03393512040362893
year,2025,258,55.42635658914728,0.08186046511627908,0.135,20.2013978826606,-22.870525834510293,,-0.03393512040362893
year,2026,155,52.25806451612903,0.11580645161290325,0.1,17.960961672224897,-11.82643530708971,,-0.03393512040362893
