date,score,recommend,qqq_change,result,evaluation_source
2026-07-22,85,テクノロジーチャレンジ,1.20,Win,legacy
2026-07-23,25,逆チャレンジ,1.20,Win,legacy
2026-07-24,25,逆チャレンジ,1.20,Win,legacy
2026-07-25,35,逆チャレンジ,1.20,Win,legacy
2026-07-26,35,逆チャレンジ,1.20,Win,legacy
2026-07-27,35,逆チャレンジ,1.20,Win,legacy
2026-07-28,55,スタンダード,1.20,Win,legacy
2026-07-29,55,スタンダード,1.20,Win,legacy
2026-07-30,25,逆チャレンジ,1.20,Win,legacy
2026-07-31,80,テクノロジーチャレンジ,1.20,Win,legacy
2026-08-01,70,テクノロジーチャレンジ,1.20,Win,legacy
2026-08-02,70,テクノロジーチャレンジ,1.20,Win,legacy
2026-08-03,70,テクノロジーチャレンジ,1.20,Win,legacy
2026-08-04,80,テクノロジーチャレンジ,1.20,Win,legacy
2026-08-05,50,テクノロジーチャレンジ,1.20,Win,legacy
2026-08-06,50,テクノロジーチャレンジ,1.20,Win,legacy
2026-08-07,50,テクノロジーチャレンジ,3.39,Win,etf_v1
2026-08-09,65,テクノロジーチャレンジ,1.20,Win,legacy
2026-08-10,65,テクノロジーチャレンジ,-0.90,Lose,etf_v1
2026-08-26,50,テクノロジーチャレンジ,1.20,Win,legacy
2026-08-27,70,テクノロジーチャレンジ,1.20,Win,legacy
2026-08-28,70,テクノロジーチャレンジ,-1.98,Lose,etf_v1
2026-08-30,60,テクノロジーチャレンジ,0.10,Win,etf_v1
2026-08-31,45,テクノロジーチャレンジ,0.10,Win,etf_v1
2026-09-01,55,テクノロジーチャレンジ,,Pending,
